n,method,time
1000,nlogn,6907.755278982137
1000,mapped,0.00016499200137332082
1000,virtual,3.482401371002197e-05
10000,nlogn,92103.40371976183
10000,mapped,0.00030583597254008055
10000,virtual,0.00022841698955744505
100000,nlogn,1151292.546497023
100000,mapped,0.0028754789964295924
100000,virtual,0.0009046450140886009
1000000,nlogn,13815510.557964273
1000000,mapped,0.033415528014302254
1000000,virtual,0.014379022002685815
10000000,nlogn,161180956.5095832
10000000,mapped,0.27805420802906156
10000000,virtual,0.14876554004149511
100000000,nlogn,1842068074.3952367
100000000,mapped,2.9220656979596242
100000000,virtual,1.710704685014207
1000000000,nlogn,20723265836.94641
1000000000,mapped,165.54381829494378
1000000000,virtual,44.84637395100435
3000000000,nlogn,65465634376.84357
3000000000,mapped,1840.617864853004
3000000000,virtual,548.6750143960235
6000000000,nlogn,135090151837.04678
6000000000,mapped,4880.379587330972
9000000000,nlogn,206284413728.5437
