n,method,time
1000,nlogn,6907.755278982137
1000,mapped,0.00011337496107444167
1000,virtual,3.4702010452747345e-05
10000,nlogn,92103.40371976183
10000,mapped,0.0004718489944934845
10000,virtual,0.0001169620081782341
100000,nlogn,1151292.546497023
100000,mapped,0.005625921010505408
100000,virtual,0.0011360220378264785
1000000,nlogn,13815510.557964273
1000000,mapped,0.03445797401946038
1000000,virtual,0.012776424991898239
10000000,nlogn,161180956.5095832
10000000,mapped,0.33520159299951047
10000000,virtual,0.1710560719948262
100000000,nlogn,1842068074.3952367
100000000,mapped,3.274517056008335
100000000,virtual,1.9096620000200346
1000000000,nlogn,20723265836.94641
1000000000,mapped,237.60494387400104
1000000000,virtual,50.0938221780234
3000000000,nlogn,65465634376.84357
3000000000,mapped,1841.0385696089943
3000000000,virtual,603.5410835520015
